No,Name,Type,3 Year Funds Offered,3 Year Funds Sold,Est. Most Recent Fund Date,Investor Location,Investor City,Investor State,Investor Country,Portfolio Size,Number of Deals,Website,Average Growth Score
163,Pelion Venture Partners,VC,$206.0M,$206.0M,7/15/2015,Salt Lake City,Salt Lake City,UT,USA,0,0,pelionvp.com,0
164,Green Visor Capital,VC,$200.0M,$0.00,10/27/2015,Bay Area,San Francisco,CA,USA,0,0,greenvisorcapital.com,0
165,BioStar Ventures,VC,$200.0M,$126.8M,9/16/2015,Petoskey,Petoskey,MI,USA,0,0,biostarventures.com,0
166,River Cities Capital Funds,VC,$200.0M,$200.0M,5/21/2014,Cincinnati,Cincinnati,OH,USA,0,0,rccf.com,0
167,TTV Capital,VC,$200.0M,$127.6M,9/2/2016,Atlanta,Atlanta,GA,USA,0,0,ttvcapital.com,0
168,SOSV,VC,$200.0M,$0.00,12/14/2015,Cork,Cork,,IRL,0,0,sosv.com,0
169,Tullis Health Investors,VC,$200.0M,$21.4M,1/29/2015,Stamford,Stamford,CT,USA,0,0,tullisfunds.com,0
170,Rembrandt Venture Partners,VC,$200.0M,$0.00,12/19/2016,Bay Area,San Francisco,CA,USA,0,0,rembrandtvc.com,0
171,Joy Capital,VC,$200.0M,$200.0M,7/1/2016,London,London,,GBR,0,0,joycapital.com,0
172,Vertex Venture Management,VC,$200.0M,$0.00,2/6/2015,Singapore,Singapore,,SGP,0,0,vertexmgt.com,0
173,Centana Growth Partners,VC,$200.0M,$123.0M,10/28/2016,New York,New York,NY,USA,0,0,centanagrowth.com,0
174,GRC Chrysalix,VC,$200.0M,$101.0M,8/26/2015,China,,,CHN,0,0,grcchrysalix.com,0
175,Heritage Group,VC,$200.0M,$100.0M,5/13/2015,Nashville,Nashville,TN,USA,0,0,heritagegroupusa.com,0
176,Glynn Capital Management,VC,$200.0M,$200.0M,3/24/2015,Bay Area,Menlo Park,CA,USA,0,0,glynncapital.com,0
177,Grotech Ventures,VC,$200.0M,$0.00,6/25/2015,Vienna,Vienna,VA,USA,0,107,grotech.com,0
178,Mohr Davidow Ventures,VC,$200.0M,$101.1M,12/15/2016,Bay Area,Menlo Park,CA,USA,121,217,mdv.com,102
179,Greylock Partners,VC,$200.0M,$1.1B,10/17/2016,Bay Area,Menlo Park,CA,USA,293,483,greylock.com,460
180,Bold Capital Partners,VC,$200.0M,$0.00,3/17/2016,Santa Monica,Santa Monica,CA,USA,0,0,boldcapitalpartners.com,0
181,PTV Healthcare Capital,VC,$200.0M,$0.00,2/21/2014,Austin,Austin,TX,USA,0,0,ptvhc.com,0
182,MissionOG,VC,$199.5M,$51.1M,1/13/2016,Philadelphia,Philadelphia,PA,USA,0,0,missionog.com,0
183,SoftTech VC,VC,$195.0M,$153.0M,6/8/2016,Bay Area,San Francisco,CA,USA,149,215,softtechvc.com,217
184,Lightbox Ventures,VC,$192.2M,$192.2M,11/17/2016,,Mumbai,,India,0,0,lightbox.vc,0
185,Harmony Partners,VC,$190.0M,$0.00,2/8/2016,Bay Area,Menlo Park,CA,USA,0,0,harmonyvp.com,0
186,New Atlantic Ventures,VC,$177.0M,$22.1M,11/29/2016,Washington D.C.,Reston,VA,USA,0,0,navfund.com,0
187,Mercato Partners,VC,$176.1M,$0.00,7/27/2016,Cottonwood Heights,Cottonwood Heights,UT,USA,0,0,mercatopartners.com,0
188,WI Harper Group,VC,$174.3M,$174.3M,5/13/2016,Beijing,Beijing,,CHN,0,0,wiharper.com,0
189,Amplify Partners,VC,$174.1M,$174.1M,9/11/2015,Boston,Cambridge,MA,USA,0,0,amplifypartners.com,0
190,Richmond Global,VC,$170.0M,$15.5M,10/8/2015,New York,New York,NY ,USA,0,0,rglobal.com,0
191,Benchmark,VC,$167.6M,$167.6M,1/25/2016,Bay Area,San Francisco,CA,USA,236,415,benchmark.com,588
192,Lerer Hippeau Ventures,VC,$165.0M,$114.3M,11/19/2015,New York,New York,NY,USA,187,231,lererhippeau.com,257
193,Elephant Partners,VC,$161.6M,$161.6M,9/20/2016,Boston,Boston,MA,,0,0,elephantvc.com,0
194,Techstars Ventures,VC,$161.4M,$159.1M,11/17/2016,Boulder,Boulder,CO,USA,222,297,techstars.com,519
195,137 Ventures,VC,$161.3M,$141.3M,1/12/2016,Bay Area,San Francisco,CA,USA,0,0,137ventures.com,0
196,Signal Peak Ventures,VC,$160.4M,$70.0M,6/25/2015,Salt Lake City,Salt Lake City,UT,USA,0,0,signalpeak.com,0
197,Volpi Capital,VC,$159.2M,$42.4M,12/10/2015,London,London,,GBR,0,0,volpicapital.com,0
198,Zetta Venture Partners,VC,$156.5M,$56.5M,4/15/2016,Bay Area,San Francisco,CA,USA,0,0,zettavp.com,0
199,Sante Ventures,VC,$154.0M,$139.0M,4/30/2015,Austin,Austin,TX,USA,0,0,santeventures.com,0
200,"A Capital Partners, L.P.",VC,$154.0M,$0.00,1/28/2016,Menlo Park,Menlo Park,CA,USA,0,0,acapitalvc.com,0
201,Four Rivers Group,VC,$154.0M,$154.0M,11/29/2016,Bay Area,San Francisco,CA,USA,0,0,fourriversgroup.com,0
202,PeakSpan Capital,VC,$153.6M,$153.6M,3/2/2016,Burlingame,Burlingame,CA,USA,0,0,peakspancapital.com,0
203,SunBridge Global Ventures,VC,$150.0M,$0.00,2/26/2015,Bay Area,Palo Alto,CA,USA,0,0,en.sunbridge-gv.jp,0
204,Jackson Square Ventures,VC,$150.0M,$0.00,12/22/2015,Bay Area,San Francisco,CA,USA,0,0,jsv.com,0
205,Aspect Ventures,VC,$150.0M,$0.00,1/29/2015,Bay Area,Palo Alto,CA,USA,0,0,aspectventures.com,0
206,Hatteras Venture Partners,VC,$150.0M,$2.9B,3/23/2016,Durham,Durham,NC,USA,0,0,hatterasvp.com,0
207,Mosaic Ventures,VC,$150.0M,$0.00,9/18/2014,Mississauga,Mississauga,CAN-ON,CAN,0,0,mosaicventures.com,0
208,Pharus Capital Management,VC,$150.0M,$11.0M,6/3/2014,Bay Area,San Francisco,CA,USA,0,0,pharuscapital.com,0
