No,Name,Type,3 Year Funds Offered,3 Year Funds Sold,Est. Most Recent Fund Date,Investor Location,Investor City,Investor State,Investor Country,Portfolio Size,Number of Deals,Website,Average Growth Score
527,Kindred Capital,VC,$1.1M,$1.1M,7/14/2015,,,,,0,0,kindredcap.com,0
528,Advance Wave Partners,VC,$1.1M,$1.0M,7/14/2015,,,,,0,0,advancewavepartners.com,0
529,Commonwealth Capital Advisors,VC,$1.0M,$228.8K,7/10/2015,,,,,0,0,commonwealthcapital.com,0
530,Capital Sports Ventures,VC,$1.0M,$1.0M,3/27/2014,,,,,0,0,capitalsportsventures.com,0
531,filter14,VC,$700.0K,$700.0K,11/25/2015,,,,,0,0,,0
532,GO Scale Capital,VC,$600.0K,$0.00,8/31/2015,,,,,0,0,,0
533,Vision Ventures,VC,$564.0K,$564.0K,4/10/2014,,,,,0,0,visionvp.com,0
534,River Glen Private Capital,VC,$530.0K,$500.0K,5/1/2015,,,,,0,0,riverglencapital.com,0
535,Tremony Capital,VC,$510.0K,$510.0K,5/13/2015,,,,,0,0,tremony.com,0
536,ATX Seed Ventures,VC,$501.0K,$501.0K,3/21/2016,,,,,0,0,atxseedventures.com,0
537,Gravity Ventures,VC,$500.0K,$300.0K,12/22/2014,St. Louis,Indianapolis,IN,USA,0,0,gravityventures.com,0
538,Underdog Ventures,VC,$500.0K,$500.0K,10/14/2014,,,,,0,0,underdogventures.com,0
539,Mobius Venture Capital,VC,$500.0K,$0.00,12/11/2015,,,,,0,0,mobiusvc.com,0
540,Iris Capital,VC,$500.0K,$50.0K,6/13/2014,Paris,Paris,,FRA,73,0,iriscapital.com,190
541,Tribal VC,VC,$462.5K,$247.5K,10/6/2014,,,,,0,0,tribal.vc,0
542,M34 Capital,VC,$432.3K,$432.3K,5/6/2015,,,,,0,0,m34capital.com,0
543,Klass Capital,VC,$314.9K,$314.9K,4/2/2015,Toronto,Toronto,CAN-ON,CAN,0,0,klasscapital.com,0
544,Social Venture Partners,VC,$250.0K,$0.00,9/30/2014,,,,,0,0,socialventurepartners.org,0
545,Nextvesting,VC,$160.0K,$160.0K,6/1/2015,Dallas,Dallas,TX,USA,0,0,nextvesting.com,0
546,DunRobin Ventures,VC,$50.0K,$50.0K,10/9/2015,,,,,0,0,dunrobinventures.com,0
547,,VC,$0.00,$0.00,,,,,,0,0,,0
548,Pine Street Capital Partners,VC,$0.00,$0.00,,,,,,0,0,pinecap.com,0
549,Ares Management,VC,$0.00,$0.00,,Chicago,Chicago,IL,USA,0,0,aresmgmt.com,0
550,NICTA,VC,$0.00,$0.00,,,,,,0,0,nicta.org,0
551,Family Venture Capital,VC,$0.00,$0.00,3/8/2013,,,,,0,0,,0
552,Garnett Theis Capital,VC,$0.00,$0.00,7/29/2015,,,,,0,0,garnetttheis.com,0
553,DFJ Aurora,VC,$0.00,$0.00,,,,,,0,0,dfjaurora.com,0
554,Shandong Luxin Investment Holdings Group,VC,$0.00,$0.00,,,,,,0,0,en.luxin.cn,0
555,Siskey Capital,VC,$0.00,$0.00,,,,,,0,0,siskeycapital.com,0
556,Two Small Fish Ventures,VC,$0.00,$0.00,,,,,,0,0,twosmallfishventures.com,0
557,Edgewater Equity,VC,$0.00,$0.00,,,,,,0,0,edgewaterequity.vc,0
558,Hunza Ventures,VC,$0.00,$0.00,,,,,,0,0,hunza-ventures.com,0
559,OceanIQ Capital,VC,$0.00,$4.3M,11/30/2015,,,,,0,0,oceaniqcapital.com,0
560,Ansible Capital,VC,$0.00,$0.00,10/14/2015,,,,,0,0,,0
561,OJIT Ventures Investment,VC,$0.00,$0.00,,,,,,0,0,,0
562,Vesterhavet,VC,$0.00,$0.00,,,,,,0,0,vesterhavet.nl,0
563,Student-Run Venture Funds,VC,$0.00,$0.00,,,,,,0,0,studentrunventurefunds.com,0
564,Angelic Ventures,VC,$0.00,$0.00,,,,,,0,0,,0
565,Beacon Street Capital,VC,$0.00,$0.00,,,,,,0,0,beaconstreetcapital.com,0
566,BV-Cornerstone Ventures,VC,$0.00,$0.00,,,,,,0,0,,0
567,Park Avenue Equity Partner,VC,$0.00,$0.00,,,,,,0,0,pkave.com,0
568,Meidlinger Partners,VC,$0.00,$0.00,,,,,,0,0,meidlingerpartners.net,0
569,Wolf Ventures,VC,$0.00,$0.00,,,,,,0,0,,0
570,Leung Investment Division,VC,$0.00,$0.00,,,,,,0,0,,0
571,Credit Lyonnais Securities,VC,$0.00,$0.00,,,,,,0,0,clsa.com,0
572,Angels with Attitude,VC,$0.00,$0.00,,,,,,0,0,angelswithattitudes.com,0
573,Leasing Technologies International,VC,$0.00,$0.00,,,,,,0,0,,0
574,WebFund,VC,$0.00,$0.00,,,,,,0,0,webfund.co.nz,0
575,AHL Venture Partners,VC,$0.00,$0.00,,,,,,0,0,ahlventurepartners.com,0
576,Charter Venture Group,VC,$0.00,$0.00,,,,,,0,0,,0
577,BlockCorp,VC,$0.00,$0.00,,,,,,0,0,,0
578,Digital Century Capital,VC,$0.00,$0.00,,,,,,0,0,,0
579,Viventures,VC,$0.00,$0.00,,,,,,0,0,vi-ventures.com,0
580,Premier Ventures Capital,VC,$0.00,$0.00,,,,,,0,0,,0
581,SBK Capital,VC,$0.00,$0.00,,,,,,0,0,,0
582,Pole Capital,VC,$0.00,$0.00,,,,,,0,0,polecapital.com,0
583,Venture TDF,VC,$0.00,$0.00,,,,,,0,0,,0
584,Third Millennium Russia Fund,VC,$0.00,$0.00,,,,,,0,0,,0
585,Eleven Two Capital,VC,$0.00,$0.00,,,,,,0,0,eleventwocap.com,0
586,DeltaG Venture,VC,$0.00,$0.00,,,,,,0,0,deltagventure.com,0
587,Leaguer Tsing-Yuan Venture Capital,VC,$0.00,$0.00,,,,,,0,0,,0
588,Blue Wire Capital,VC,$0.00,$0.00,,,,,,0,0,bluewirecapital.com,0
589,GDP Venture,VC,$0.00,$0.00,,,,,,0,0,gdpventure.com,0
590,ABC Dream Ventures,VC,$0.00,$0.00,,,,,,0,0,adventures.co.jp,0
591,TI Capital,VC,$0.00,$0.00,,,,,,0,0,ti-capital.org,0
592,Blue Ocean Ventures,VC,$0.00,$0.00,,,,,,0,0,blueocean-ventures.com,0
593,Scale-Up Venture Capital,VC,$0.00,$0.00,,,,,,0,0,scale-up.vc,0
594,Sniper Investments,VC,$0.00,$0.00,,,,,,0,0,sniperinvestments.com,0
595,All-Stars Investment,VC,$0.00,$0.00,,,,,,0,0,allstarinvestments.com,0
596,Dabur India,VC,$0.00,$0.00,,,,,,0,0,dabur.com,0
597,Binux Capital,VC,$0.00,$0.00,,,,,,0,0,,0
598,Accelerate Oklahoma! Fund,VC,$0.00,$0.00,,,,,,0,0,,0
599,Emergo Partners,VC,$0.00,$0.00,,,,,,0,0,emergopartners.com,0
600,Kleinheinz Capital Partners,VC,$0.00,$0.00,,,,,,0,0,,0
601,Pinama Inversiones,VC,$0.00,$0.00,,,,,,0,0,pinama.es,0
602,BIG Ventures,VC,$0.00,$0.00,,,,,,0,0,bigventures.net,0
603,StatsNet Invests (SN Invests),VC,$0.00,$0.00,,,,,,0,0,sn-invests.com,0
604,DOB Equity,VC,$0.00,$0.00,,,,,,0,0,dobequity.nl,0
605,TriplePoint Ventures,VC,$0.00,$0.00,,,,,,0,0,,0
606,Bonsal Capital,VC,$0.00,$0.00,,,,,,0,0,,0
607,Srijan Capital,VC,$0.00,$0.00,,,,,,0,0,srijancapital.com,0
608,India Value Fund,VC,$0.00,$0.00,,,,,,0,0,,0
609,Goldman Ventures,VC,$0.00,$0.00,,,,,,0,0,,0
610,Freelands Ventures,VC,$0.00,$0.00,,,,,,0,0,freelandsventures.com,0
611,Sensu Invest,VC,$0.00,$0.00,,,,,,0,0,,0
612,Horizon Partners,VC,$0.00,$0.00,,,,,,0,0,horizonpartners.com,0
613,Digital+ Partners,VC,$0.00,$0.00,,,,,,0,0,dplus.partners,0
614,BitFury Capital,VC,$0.00,$0.00,,,,,,0,0,bitfurycapital.com,0
615,Naxuri Capital,VC,$0.00,$0.00,,,,,,0,0,naxuricapital.com,0
616,B7inc,VC,$0.00,$0.00,,Rockville,Rockville,MD,USA,0,0,b7inc.com,0
617,Oswal Techno Ventures,VC,$0.00,$0.00,,,,,,0,0,,0
618,Banzai Ventures,VC,$0.00,$0.00,,,,,,0,0,,0
619,DST Global,VC,$0.00,$0.00,,,,,,0,0,dst-global.com,0
620,Indus Capital Partners,VC,$0.00,$0.00,,,,,,0,0,induscap.com,0
621,ChuanCheng Fund,VC,$0.00,$0.00,,,,,,0,0,,0
622,Bear Creek Capital,VC,$0.00,$0.00,3/28/2011,,,,,0,0,,0
623,Wingate Ventures,VC,$0.00,$0.00,,,,,,0,0,wingateventures.com,0
624,Ark Angels Activator Fund,VC,$0.00,$0.00,,,,,,0,0,aaafund.be,0
625,Block26,VC,$0.00,$0.00,,,,,,0,0,block26.com,0
626,China Investment Corporation (CIC),VC,$0.00,$0.00,,,,,,0,0,china-inv.cn,0
627,IW Capital,VC,$0.00,$0.00,,London,London,,GBR,0,0,iwcapital.co.uk,0
628,Good Ventures,VC,$0.00,$0.00,,,,,,0,0,goodventures.org,0
629,Vista Venture Partners,VC,$0.00,$0.00,,,,,,0,0,vistavp.com,0
630,Cabot Square Capital,VC,$0.00,$0.00,,,,,,0,0,cabotsquare.com,0
631,Tarsadia Investments,VC,$0.00,$0.00,,,,,,0,0,tarsadiainvestments.com,0
632,SG Americas Securities,VC,$0.00,$0.00,,,,,,0,0,sg-structuredproducts.com,0
633,BC Investment Management Corporation,VC,$0.00,$0.00,,,,,,0,0,bcimc.com,0
634,ARCH Healthcare Fund,VC,$0.00,$0.00,,,,,,0,0,,0
635,CBC Investment Group,VC,$0.00,$0.00,,,,,,0,0,cbcgroup.se,0
636,Grauer Brothers Capital,VC,$0.00,$0.00,,,,,,0,0,,0
637,Patni Group,VC,$0.00,$0.00,,,,,,0,0,,0
638,Chicago Angel Investors,VC,$0.00,$0.00,,,,,,0,0,,0
639,Ashmore Investment Management,VC,$0.00,$0.00,,,,,,0,0,ashmoregroup.com,0
640,Silverlink Capital,VC,$0.00,$0.00,,,,,,0,0,,0
641,Papillon Capital,VC,$0.00,$0.00,,,,,,0,0,papillon.vc,0
642,Mokbel Ventures,VC,$0.00,$0.00,,,,,,0,0,,0
643,Avenue Venture,VC,$0.00,$0.00,,,,,,0,0,avenueventurepartners.com,0
644,Tene Investment Funds,VC,$0.00,$0.00,,,,,,0,0,tenecapital.com,0
645,ORR Partners,VC,$0.00,$0.00,,,,,,0,0,orrpartners.com,0
646,Sphere Capital Holding,VC,$0.00,$0.00,,,,,,0,0,sphereholdings.co.za,0
647,Shaked Ventures,VC,$0.00,$0.00,,,,,,0,0,shakedventures.com,0
648,Glooh Ventures,VC,$0.00,$0.00,,,,,,0,0,,0
649,Litera Investments,VC,$0.00,$0.00,,,,,,0,0,literainvestments.com,0
650,Amun Capital,VC,$0.00,$0.00,,,,,,0,0,amuncapital.com,0
651,Rock Ventures,VC,$0.00,$0.00,,,,,,0,0,rockventures.com,0
652,Pacific Tiger Group,VC,$0.00,$0.00,,,,,,0,0,,0
653,Bluefish Ventures,VC,$0.00,$0.00,,,,,,0,0,bluefishventures.com,0
654,RezVen Partners,VC,$0.00,$0.00,,,,,,0,0,rezven.com,0
655,H2 Investment Properties,VC,$0.00,$0.00,,,,,,0,0,,0
656,Varde Partners,VC,$0.00,$0.00,,Minneapolis,Minneapolis,MN,USA,0,0,varde.com,0
657,Andrew Carter Capital,VC,$0.00,$0.00,,,,,,0,0,,0
658,KL Ventures,VC,$0.00,$0.00,,,,,,0,0,,0
659,Convergence Accel,VC,$0.00,$0.00,,Jakarta,Jakarta,,IDN,0,0,convergenceaccel.com,0
660,Wellstreet,VC,$0.00,$0.00,,,,,,0,0,wellstreet.se,0
661,Venture Stars,VC,$0.00,$0.00,,,,,,0,0,venture-stars.com,0
662,Signatures Capital,VC,$0.00,$0.00,,,,,,0,0,signaturescapital.com,0
663,Phi Square Holdings,VC,$0.00,$0.00,,,,,,0,0,phi-square.com,0
664,Xandas New Media Ventures,VC,$0.00,$0.00,,,,,,0,0,,0
665,Tenmou,VC,$0.00,$0.00,,,,,,0,0,tenmou.me,0
666,Experienced Capital,VC,$0.00,$0.00,,,,,,0,0,excp.com,0
667,Meet and Money,VC,$0.00,$0.00,,,,,,0,0,,0
668,Chris Edson,VC,$0.00,$0.00,,,,,,0,0,,0
669,Ginko Ventures,VC,$0.00,$0.00,,,,,,0,0,ginkopartners.com,0
670,Bitcoin Opportunity Corp,VC,$0.00,$0.00,,,,,,0,0,,0
671,Wingate Group,VC,$0.00,$0.00,,,,,,0,0,wingategroup.com.au,0
672,Dentressangle Initiatives,VC,$0.00,$0.00,,,,,,0,0,dentressangle-initiatives.com,0
673,Chmod Ventures,VC,$0.00,$0.00,,,,,,0,0,,0
674,BuildGroup,VC,$0.00,$0.00,,,,,,0,0,buildgroup.com,0
675,Catalus Capital,VC,$0.00,$0.00,,,,,,0,0,cataluscapital.com,0
676,York Ventures,VC,$0.00,$0.00,,,,,,0,0,,0
677,Kelvingrove Ventures,VC,$0.00,$0.00,,,,,,0,0,kelvingrove.com,0
678,Blue Scorpion Investments,VC,$0.00,$3.0M,4/13/2015,,,,,0,0,bluescorpioninv.com,0
679,Peter Fenton,VC,$0.00,$0.00,,,,,,0,0,peterfentonequinevets.co.uk,0
680,LStar Capital,VC,$0.00,$0.00,,,,,,0,0,lstarcap.com,0
681,Northleaf Capital Partners,VC,$0.00,$0.00,,Toronto,Toronto,CAN-ON,CAN,0,0,northleafcapital.com,0
682,HNAP,VC,$0.00,$0.00,,,,,,0,0,hnaps.com,0
683,Angelsim Sarl,VC,$0.00,$0.00,,,,,,0,0,,0
684,Ever Bright Investments,VC,$0.00,$0.00,,,,,,0,0,ebigroup.cn,0
685,Columbia Lake Partners,VC,$0.00,$0.00,,,,,,0,0,clpgrowth.com,0
686,Perle Ventures,VC,$0.00,$0.00,,,,,,0,0,perleventures.com,0
687,Tempo Ventures,VC,$0.00,$0.00,,,,,,0,0,tempo.vc,0
688,"Health Venture Group, LLC",VC,$0.00,$0.00,,,,,,0,0,healthventuregroup.com,0
689,Angel Capital Entrepreneurial Fund,VC,$0.00,$0.00,,,,,,0,0,angelcapitalassociation.org,0
690,Voqual,VC,$0.00,$0.00,,,,,,0,0,voqal.org,0
691,Summit Bridge Capital,VC,$0.00,$0.00,12/13/2013,,,,,0,0,summitbridgecapital.com,0
692,Salmon River Capital,VC,$0.00,$0.00,,,,,,0,0,salmonrivercapital.com,0
693,Follow[the]Seed,VC,$0.00,$0.00,,,,,,0,0,followtheseed.vc,0
694,Capital Emprendedor,VC,$0.00,$0.00,,,,,,0,0,capitalemprendedor.org.mx,0
695,New India Investment Corp (NIIC),VC,$0.00,$0.00,,,,,,0,0,newindiainvestment.com,0
696,Accanto Partners,VC,$0.00,$0.00,,,,,,0,0,,0
697,United Capital Partners,VC,$0.00,$0.00,,,,,,0,0,unitedcp.com,0
698,Blackpoynt Ventures,VC,$0.00,$0.00,,,,,,0,0,,0
699,Bojiang Capital,VC,$0.00,$0.00,,,,,,0,0,,0
700,Brad Van Vugt,VC,$0.00,$0.00,,,,,,0,0,bvanvugt.com,0
701,Splice Capital,VC,$0.00,$0.00,,,,,,0,0,splicecapital.com,0
702,Randy Greencorn,VC,$0.00,$0.00,,,,,,0,0,,0
703,Epsilon Venture Partners,VC,$0.00,$0.00,,,,,,0,0,epsilonventurepartners.com,0
704,WaterBridge Ventures,VC,$0.00,$0.00,,,,,,0,0,waterbridgeventures.in,0
705,Princeville Global,VC,$0.00,$0.00,,,,,,0,0,pvglobal.com,0
706,Gardner Ventures,VC,$0.00,$0.00,,,,,,0,0,,0
707,Active Angels,VC,$0.00,$0.00,,,,,,0,0,active-angels.co.uk,0
708,Bridge Boys Fund,VC,$0.00,$0.00,,,,,,0,0,,0
709,Milestone Merchant Partners,VC,$0.00,$0.00,,,,,,0,0,hl.com,0
710,Escala Venture,VC,$0.00,$0.00,,,,,,0,0,Escala.vc,0
711,Fillmore Capital Partners,VC,$0.00,$0.00,,,,,,0,0,fillmorecap.com,0
712,Spark Angels,VC,$0.00,$0.00,,,,,,0,0,sparkangels.ca,0
713,Odeon Venture Capital AG,VC,$0.00,$0.00,,,,,,0,0,odeon-ag.com,0
714,Lonsdale Capital Partners,VC,$0.00,$0.00,,,,,,0,0,lonsdalepartners.com,0
715,Vumela Fund,VC,$0.00,$0.00,,,,,,0,0,,0
716,Campfire Capital,VC,$0.00,$0.00,,,,,,0,0,campfire-capital.com,0
717,Alden AS,VC,$0.00,$0.00,,,,,,0,0,,0
718,LionTree,VC,$0.00,$0.00,,,,,,0,0,liontree.com,0
719,Temp Holdings Co. Ltd.,VC,$0.00,$0.00,,,,,,0,0,temp-holdings.co.jp,0
720,Petrillo Capital,VC,$0.00,$0.00,,,,,,0,0,petrillocap.com,0
721,Red Dot Capital Partners,VC,$0.00,$0.00,,,,,,0,0,reddot-capital.com,0
722,April Capital,VC,$0.00,$0.00,,,,,,0,0,aprilcapital.com,0
723,Advanced Biotechnologies Venture Fund,VC,$0.00,$0.00,,,,,,0,0,abventurefund.com,0
724,Rising Dragon Singapore,VC,$0.00,$0.00,,,,,,0,0,risingdragonag.com,0
725,Parana Management BVBA,VC,$0.00,$0.00,,,,,,0,0,,0
726,NBC Sports Ventures,VC,$0.00,$0.00,,,,,,0,0,advertise.nbcsports.com,0
727,Archimedia Investments,VC,$0.00,$0.00,,,,,,0,0,archimedia.com,0
728,Ona Capital,VC,$0.00,$0.00,,,,,,0,0,onacapital.com,0
729,enern,VC,$0.00,$0.00,,,,,,0,0,enern.eu,0
730,Sivia Capital,VC,$0.00,$0.00,,,,,,0,0,siviacapital.com,0
731,Oxeon Partners (Oxeon Investments),VC,$0.00,$0.00,,,,,,0,0,oxeonpartners.com,0
732,Woodland Partners,VC,$0.00,$0.00,,,,,,0,0,woodlandpartners.us,0
733,Material Impact Fund,VC,$0.00,$0.00,,,,,,0,0,,0
734,Brown Savano,VC,$0.00,$81.8M,6/15/2016,Washington D.C.,Baltimore,MD,USA,0,0,brownsavano.com,0
735,Velocity Capital Private Equity,VC,$0.00,$0.00,,,,,,0,0,velocitycapital-pe.com,0
736,Silicon Oasis Ventures,VC,$0.00,$0.00,,,,,,0,0,dsoa.ae,0
737,Archipel Capital,VC,$0.00,$0.00,,,,,,0,0,archipelcapital.com,0
738,Startup Alliance,VC,$0.00,$0.00,,,,,,0,0,startupalliance.org,0
739,The Women’s Venture Capital Fund,VC,$0.00,$0.00,,,,,,0,0,,0
740,Far East Ventures,VC,$0.00,$0.00,,,,,,0,0,fareast.ventures,0
741,Baltisse,VC,$0.00,$0.00,,,,,,0,0,baltisse.com,0
742,Empower Investment Group,VC,$0.00,$0.00,,,,,,0,0,empowerinvestmentgroup.com,0
743,Peacock Capital,VC,$0.00,$0.00,,,,,,0,0,peacock-capital.com,0
744,LTC Partners,VC,$0.00,$0.00,,,,,,0,0,ltcpartners.com,0
745,K Venture Group,VC,$0.00,$0.00,,,,,,0,0,kvgcorp.com,0
746,John Kelleher,VC,$0.00,$0.00,,,,,,0,0,,0
747,Coller Capital,VC,$0.00,$0.00,,,,,,0,0,collercapital.com,0
748,Jupiter Venture,VC,$0.00,$0.00,,,,,,0,0,jupitercapital.in,0
749,Euphoria Ventures,VC,$0.00,$0.00,,,,,,0,0,,0
750,RNR Ventures,VC,$0.00,$0.00,,,,,,0,0,rnrventuresgroup.com,0
751,Klister Credit Corp,VC,$0.00,$0.00,,,,,,0,0,klister.ca,0
752,Little Engine Ventures,VC,$0.00,$0.00,,,,,,0,0,lev.vc,0
753,Fishman Group,VC,$0.00,$0.00,,Tel Aviv,Tel Aviv,,ISR,0,0,fishman.co.il,0
754,Digi Ventures,VC,$0.00,$0.00,,,,,,0,0,digi.vc,0
755,Javelin Ventures,VC,$0.00,$0.00,,,,,,0,0,javelin-ventures.com,0
756,Evermore Investments,VC,$0.00,$0.00,,,,,,0,0,evermoreglobal.com,0
757,Stanley Park Ventures,VC,$0.00,$0.00,,,,,,0,0,stanleyparkventures.com,0
758,Luminor Capital,VC,$0.00,$0.00,,,,,,0,0,luminorcapital.com,0
759,Capital Risque Fribourg,VC,$0.00,$0.00,,,,,,0,0,capitalrisque-fr.ch,0
760,State Street Global Investments,VC,$0.00,$0.00,,,,,,0,0,,0
761,ExCapsa Group,VC,$0.00,$0.00,,,,,,0,0,excapsagroup.com,0
762,Nippon Technology Venture Partners,VC,$0.00,$0.00,,,,,,0,0,ntvp.com,0
763,Seed Enterprises,VC,$0.00,$0.00,,,,,,0,0,,0
764,Rimrock Venture Parters,VC,$0.00,$0.00,,,,,,0,0,,0
765,Innovation Support,VC,$0.00,$0.00,,,,,,0,0,,0
766,Centra Capital,VC,$0.00,$0.00,,,,,,0,0,,0
767,Epimede,VC,$0.00,$0.00,,,,,,0,0,episode.com,0
768,Echelon Ventures,VC,$0.00,$0.00,,,,,,0,0,,0
769,Shenzhen O-film Tech Co,VC,$0.00,$0.00,,,,,,0,0,,0
770,Middle Bridge Partners,VC,$0.00,$0.00,,,,,,0,0,middlebridgepartners.com,0
771,Venture Club Ru,VC,$0.00,$0.00,,,,,,0,0,ventureclub.ru,0
772,Sankhya Women Impact Fund (SWIF),VC,$0.00,$0.00,,,,,,0,0,,0
773,Garrison Investment Group,VC,$0.00,$0.00,,,,,,0,0,garrisoninv.com,0
774,TOM Group Limited,VC,$0.00,$0.00,,,,,,0,0,,0
775,Kaixing Capital,VC,$0.00,$0.00,,,,,,0,0,,0
776,Capzanine,VC,$0.00,$0.00,,,,,,0,0,capzanine.com,0
777,Zeqing Capital,VC,$0.00,$0.00,,,,,,0,0,,0
778,tribal ventures,VC,$0.00,$0.00,,,,,,0,0,tribalventures.com,0
779,Touchdown Ventures,VC,$0.00,$0.00,,,,,,0,0,touchdownvc.com,0
780,Chestnut Hill Ventures,VC,$0.00,$0.00,,,,,,0,0,,0
781,Sparkbox Ventures,VC,$0.00,$0.00,,,,,,0,0,sparkbox.vc,0
782,Ames Seed Capital,VC,$0.00,$0.00,,,,,,0,0,amesseedcapital.com,0
783,"Chione, Ltd.",VC,$0.00,$0.00,,,,,,0,0,,0
784,Qingcong Capital,VC,$0.00,$0.00,,,,,,0,0,qingcongcapital.cn,0
785,Crypto Currency Partners,VC,$0.00,$0.00,,,,,,0,0,cryptocurrencypartners.com,0
786,Jordache,VC,$0.00,$0.00,,,,,,0,0,jordachecorporate.com,0
787,Clinton Capital Partners,VC,$0.00,$0.00,,,,,,0,0,clintoncapitalpartners.com.au,0
788,Arlon Group,VC,$0.00,$0.00,,New York,New York,NY,USA,0,0,arlongroup.com,0
789,Bicro,VC,$0.00,$0.00,,,,,,0,0,bicro.hr,0
790,Omnivore Capital,VC,$0.00,$0.00,,,,,,0,0,omnivorecap.com,0
791,Huijin Cubic Capital,VC,$0.00,$0.00,,,,,,0,0,,0
792,Lazio Innova,VC,$0.00,$0.00,,,,,,0,0,lazioinnova.it,0
793,Pleasant Bay Capital,VC,$0.00,$0.00,,,,,,0,0,pleasantbaycp.com,0
794,Flash Forward Ventures,VC,$0.00,$0.00,,,,,,0,0,,0
795,Valentis Capital,VC,$0.00,$0.00,,,,,,0,0,valentiscapital.com,0
796,Development Principles Fund,VC,$0.00,$0.00,,,,,,0,0,,0
797,Buchanan Investments,VC,$0.00,$0.00,,,,,,0,0,,0
798,Plutus Capital,VC,$0.00,$0.00,,,,,,0,0,plutuscapitaladvisors.com,0
799,Nexus Investment,VC,$0.00,$0.00,,,,,,0,0,nexusinvestments.com,0
800,Jacard Investimentos,VC,$0.00,$0.00,,,,,,0,0,,0
801,Rolling Bay Ventures,VC,$0.00,$0.00,,,,,,0,0,,0
802,Redfield Asset Management,VC,$0.00,$0.00,,,,,,0,0,redfieldam.com,0
803,Varadero Capital,VC,$0.00,$0.00,,,,,,0,0,varaderocapital.com,0
804,Silver Point Ventures,VC,$0.00,$0.00,,,,,,0,0,silverpointventures.com,0
805,King Street Partners,VC,$0.00,$0.00,,,,,,0,0,,0
806,Conor Fund,VC,$0.00,$0.00,,,,,,0,0,conorfund.com,0
807,K Fund,VC,$0.00,$0.00,,,,,,0,0,kfund.co,0
808,Angel Island Capital,VC,$0.00,$0.00,,,,,,0,0,aicap.com,0
809,RMM,VC,$0.00,$0.00,,,,,,0,0,rmm.net,0
810,Chernovetskyi Investment Group,VC,$0.00,$0.00,,,,,,0,0,chernovetskyiinvestments.com,0
811,Venture Investment Associates (VIA),VC,$0.00,$0.00,,,,,,0,0,viafunds.com,0
812,Strait Capital Corp,VC,$0.00,$0.00,,,,,,0,0,straitcapital.com,0
813,MAG Ventures,VC,$0.00,$0.00,,,,,,0,0,magventures.com,0
814,Neurato Investments,VC,$0.00,$0.00,,,,,,0,0,,0
815,Parthenon Capital Partners,VC,$0.00,$0.00,,Boston,Boston,MA,USA,0,0,parthenoncapitalpartners.com,0
816,Dallas Angels Network,VC,$0.00,$0.00,,,,,,0,0,,0
817,Erasmus MC Biomedical Fund,VC,$0.00,$0.00,,,,,,0,0,erasmusmcfund.nl,0
818,Springboard-Harper,VC,$0.00,$0.00,,,,,,0,0,sbharper.com,0
819,VAMM Ventures,VC,$0.00,$0.00,,,,,,0,0,vammventures.com,0
820,Guardian Capital Partners,VC,$0.00,$0.00,,,,,,0,0,guardiancp.com,0
821,Sapien Ventures,VC,$0.00,$0.00,,,,,,0,0,sapienventures.vc,0
822,Saad Investments Company,VC,$0.00,$0.00,,,,,,0,0,,0
823,FPE Capital,VC,$0.00,$0.00,,,,,,0,0,fpecapital.com,0
824,Kamelizer,VC,$0.00,$0.00,,,,,,0,0,,0
825,KMG Capital Partners,VC,$0.00,$0.00,,,,,,0,0,kmgcap.com,0
826,Innotech Advisers,VC,$0.00,$0.00,,,,,,0,0,,0
827,Berenson Capital Partners,VC,$0.00,$0.00,,,,,,0,0,berensonco.com,0
828,iVentures Asia,VC,$0.00,$0.00,,,,,,0,0,,0
829,Kyosei Ventures,VC,$0.00,$0.00,,,,,,0,0,kyoseiventures.com,0
830,Valence Partners,VC,$0.00,$0.00,,,,,,0,0,valencepartners.com,0
831,FoxKiser,VC,$0.00,$0.00,,,,,,0,0,foxkiser.com,0
832,Bernardo Investment,VC,$0.00,$0.00,,,,,,0,0,,0
833,Castletown Investments,VC,$0.00,$0.00,,,,,,0,0,,0
834,SJP Holdings,VC,$0.00,$0.00,,,,,,0,0,,0
835,Stereo Capital,VC,$0.00,$0.00,,,,,,0,0,stereocap.vc,0
836,ERMAK Group,VC,$0.00,$0.00,,,,,,0,0,ermakgroup.com,0
837,Blackthorne Partners,VC,$0.00,$0.00,8/26/2010,,,,,0,0,blackthornepartners.com,0
838,Lian Fund,VC,$0.00,$0.00,,,,,,0,0,,0
839,GTC,VC,$0.00,$0.00,,,,,,0,0,thegtcgroup.com,0
840,Pasadera Capital,VC,$0.00,$0.00,,,,,,0,0,pasaderacapital.com,0
841,Shortcut Ventures GmbH,VC,$0.00,$0.00,,Hamburg,Hamburg,,DEU,0,0,shortcut.vc,0
842,FosunKunzhong Capital,VC,$0.00,$0.00,,,,,,0,0,,0
843,Maschinenfabrik Reinhausen,VC,$0.00,$0.00,,,,,,0,0,reinhausen.com,0
844,New MainStream Capital,VC,$0.00,$0.00,,,,,,0,0,nms-capital.com,0
845,BillerudKorsnas Venture,VC,$0.00,$0.00,,,,,,0,0,billerudkorsnas.com,0
846,C5 Partners,VC,$0.00,$0.00,,,,,,0,0,,0
847,Sansei Capital Investment,VC,$0.00,$0.00,,,,,,0,0,sanseicapital.com,0
848,Norinnova Invest,VC,$0.00,$0.00,,,,,,0,0,norinnovainvest.no,0
